epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
367,660.861,0.73318,0.44099,1.01203,0.84398,0.84573,0.86687,0.63579,0.84566,0.46958,1.09284,0.00963766,0.00963766,0.00963766
368,1324.24,0.75823,0.46472,1.0214,0.84397,0.8458,0.86734,0.63631,0.84562,0.46948,1.09294,0.00963667,0.00963667,0.00963667
369,1988.72,0.77211,0.47354,1.03459,0.85526,0.84053,0.86724,0.63638,0.84556,0.46922,1.093,0.00963568,0.00963568,0.00963568
370,2654.11,0.7784,0.48395,1.03626,0.85432,0.84054,0.86716,0.63598,0.84553,0.46912,1.09317,0.00963469,0.00963469,0.00963469
371,3319.07,0.78746,0.48993,1.0373,0.85769,0.8397,0.86792,0.63628,0.84533,0.46873,1.09309,0.0096337,0.0096337,0.0096337
372,3983.96,0.79085,0.49563,1.03769,0.8597,0.83944,0.86838,0.63677,0.84536,0.46868,1.09318,0.00963271,0.00963271,0.00963271
373,4648.17,0.79426,0.49738,1.04207,0.85931,0.83939,0.86818,0.63685,0.84539,0.46852,1.09316,0.00963172,0.00963172,0.00963172
374,5311.73,0.79444,0.4987,1.04269,0.85794,0.83911,0.86829,0.63759,0.84521,0.46824,1.09314,0.00963073,0.00963073,0.00963073
375,5974.66,0.79391,0.50073,1.04261,0.8585,0.83921,0.86853,0.63634,0.84526,0.46787,1.0933,0.00962974,0.00962974,0.00962974
376,6638.09,0.79313,0.50256,1.04403,0.85937,0.83868,0.86866,0.63689,0.84547,0.46819,1.09338,0.00962875,0.00962875,0.00962875
377,7302.13,0.79721,0.50097,1.04317,0.85945,0.83904,0.86902,0.63726,0.84535,0.46813,1.09324,0.00962776,0.00962776,0.00962776
378,7966.64,0.79604,0.50318,1.04221,0.85887,0.83994,0.86906,0.63726,0.8455,0.46813,1.0934,0.00962677,0.00962677,0.00962677
379,8630.75,0.79774,0.5003,1.04069,0.859,0.84006,0.86912,0.63725,0.84548,0.46842,1.09343,0.00962578,0.00962578,0.00962578
380,9296.39,0.7978,0.5058,1.04328,0.85747,0.8417,0.86927,0.63742,0.84549,0.46819,1.09347,0.00962479,0.00962479,0.00962479
381,9961.7,0.79955,0.50483,1.0438,0.85727,0.84236,0.86935,0.63754,0.84554,0.46797,1.0936,0.0096238,0.0096238,0.0096238
382,10628.5,0.79596,0.50237,1.04464,0.8576,0.84277,0.86941,0.63817,0.84532,0.4681,1.09355,0.00962281,0.00962281,0.00962281
383,11296.4,0.79898,0.50017,1.04623,0.85587,0.84397,0.86932,0.6385,0.8453,0.46809,1.09352,0.00962182,0.00962182,0.00962182
384,11964.7,0.80393,0.50289,1.04284,0.85501,0.84463,0.8692,0.63838,0.84537,0.46806,1.09354,0.00962083,0.00962083,0.00962083
